row,text,true_label,pred_label,top_words_pushing_positive_score,top_words_pushing_negative_score
9, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,positive,"alright.. (0.4998), day (0.1783), is (0.1728), get? (0.1124), you (0.0520), stepsister (0.0418), to (0.0257), soon (0.0214)","yet. (-0.0239), leaving (-0.0208), What (-0.0135), haven`t (-0.0135), though! (0.0061), done (0.0071), anything (0.0081), did (0.0103)"
19,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,negative,"ok (0.0967), that. (0.0440), all (0.0269), realise, (0.0259), spiritual (0.0224), that (0.0213), ego!. (0.0193), and (0.0109)","not (-0.8793), with (-0.2357), I`m (-0.0753), exploding (-0.0379), great. (-0.0376), stagnentation, (-0.0366), i`m (-0.0233), its (-0.0198)"
28, look who I found just for you  --->  http://twitter.com/DJT2009,positive,neutral,"you (0.1004), for (0.0836), found (0.0713), look (0.0632), ---> (0.0617), just (0.0553), http://twitter.com/DJT2009 (0.0369), who (0.0331)","I (0.0280), who (0.0331), http://twitter.com/DJT2009 (0.0369), just (0.0553), ---> (0.0617), look (0.0632), found (0.0713), for (0.0836)"
40, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,neutral,"acum? (0.0894), of (0.0313), 4n? (0.0035), heard (-0.0125), rog (-0.0173), esti (-0.0205), ma (-0.0311), u (-0.0398)","much (-0.1259), too (-0.0916), never (-0.0851), beat (-0.0695), it (-0.0676), tweet (-0.0510), u (-0.0398), ma (-0.0311)"
41, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,negative,"SOMETHING (0.1090), travel. (0.0767), I (0.0399), am (0.0319), I (0.0204), when (0.0187), airport. (0.0068), Newark (0.0056)","forget (-0.5598), I (-0.2715), always (-0.1111), at (-0.0027), Newark (0.0056), airport. (0.0068), when (0.0187), I (0.0204)"
50,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,negative,"good (0.3763), a (0.1122), & (0.0850), episode! (0.0465), 'FRIENDS' (0.0408), acoustic (0.0204), that (0.0159), performances! (0.0118)","miss (-1.4815), for (-0.2558), I (-0.2547), Is (-0.0444), the (-0.0421), watching (-0.0191), show (-0.0189), In (-0.0136)"
57,almost got a kitty yesterday...but it didn`t work out,neutral,negative,"yesterday...but (0.2231), a (0.1134), out (0.0878), kitty (0.0166), got (-0.0170), almost (-0.0390), it (-0.1283), work (-0.3989)","didn`t (-0.5037), work (-0.3989), it (-0.1283), almost (-0.0390), got (-0.0170), kitty (0.0166), out (0.0878), a (0.1134)"
64,at starbucks with my love. eff school. i have work later too.,neutral,positive,"love. (0.7806), starbucks (0.1950), i (0.0529), eff (0.0408), later (0.0107), school. (0.0056), work (-0.0005), have (-0.0006)","my (-0.0539), at (-0.0466), with (-0.0249), too. (-0.0103), have (-0.0006), work (-0.0005), school. (0.0056), later (0.0107)"
72, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,negative,"right...I (0.2340), on (-0.0008), my (-0.0028), I (-0.0034), toe (-0.0235), last (-0.0280), is (-0.0290), my (-0.0290)","bad (-0.2925), broke (-0.2512), night (-0.1389), - (-0.1257), think (-0.1047), foot. (-0.1013), TGIF (-0.0479), my (-0.0290)"
74,_LaMont yr very young looking dude,positive,neutral,"dude (0.1321), very (0.0468), _LaMont (0.0288), yr (-0.0229), looking (-0.0464), young (-0.2546)","young (-0.2546), looking (-0.0464), yr (-0.0229), _LaMont (0.0288), very (0.0468), dude (0.1321)"
90,The underwire in my bra is sticking out and poking me in the armpit,negative,neutral,"out (0.1091), The (0.0209), bra (0.0168), in (0.0040), the (-0.0006), armpit (-0.0044), in (-0.0314), my (-0.0682)","underwire (-0.1833), me (-0.1448), poking (-0.1438), is (-0.1126), sticking (-0.0931), and (-0.0808), my (-0.0682), in (-0.0314)"
101,skype call with billie but my webcam dont work,neutral,negative,"call (0.0389), with (0.0349), skype (0.0077), billie (-0.0069), webcam (-0.0850), my (-0.0892), but (-0.1114), work (-0.4565)","dont (-0.4756), work (-0.4565), but (-0.1114), my (-0.0892), webcam (-0.0850), billie (-0.0069), skype (0.0077), with (0.0349)"
105, I want to see David cook!!,positive,neutral,"to (0.2397), David (0.1597), see (0.1514), cook!! (0.1493), want (0.0736), I (-0.0103)","I (-0.0103), want (0.0736), cook!! (0.1493), see (0.1514), David (0.1597), to (0.2397)"
118, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,neutral,"help (0.3715), it (0.2266), but (0.2130), prayers (0.1991), results. (0.1912), him (0.1720), We`ll (0.1548), keep (0.1543)","rough. (-0.6358), thats (-0.5820), hubby (0.0338), know (0.0585), had (0.0893), did (0.0983), in (0.0983), the (0.1035)"
120,"Playin City of Villains, wishin my buddies were playin with me.....",positive,neutral,"wishin (0.2428), buddies (0.1498), Villains, (0.1170), with (0.0695), me..... (0.0440), City (0.0133), Playin (0.0047), my (-0.0004)","playin (-0.0764), were (-0.0719), of (-0.0575), my (-0.0004), Playin (0.0047), City (0.0133), me..... (0.0440), with (0.0695)"
123,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral,negative,"iPhone. (0.0364), Face (0.0312), It (0.0230), just (0.0214), on (0.0101), search. (0.0046), regular (0.0010), to (-0.0130)","Sad (-0.6638), doesn`t (-0.1259), work (-0.0858), Bing (-0.0464), takes (-0.0366), mobile (-0.0264), the (-0.0230), Big (-0.0210)"
125,man im so sad school is ending  but then again high school might be better :O,neutral,negative,"better (0.3123), be (0.0455), high (0.0415), again (0.0177), school (0.0164), :O (0.0053), school (-0.0054), then (-0.0058)","sad (-0.9636), might (-0.1260), so (-0.1182), im (-0.1129), man (-0.0871), is (-0.0791), ending (-0.0394), but (-0.0226)"
128,oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,neutral,negative,"guys (0.1036), watch (0.0972), god!!! (0.0856), much!!! (0.0680), my (0.0442), from (0.0299), BGT (0.0289), i (0.0257)","cried (-1.1442), http://bit.ly/5t5Xz (-0.0186), this (0.0006), so (0.0094), oh (0.0144), i (0.0257), BGT (0.0289), from (0.0299)"
