row,text,true_label,pred_label,top_words_pushing_positive_score,top_words_pushing_negative_score
0,Last session of the day  http://twitpic.com/67ezh,neutral,positive,"day (1.2487), of the day (0.6844), the day (0.6691), session (0.2144), the (0.1167), of the (0.0452), of (-0.0084), last (-0.1474)","last (-0.1474), of (-0.0084), of the (0.0452), the (0.1167), session (0.2144), the day (0.6691), of the day (0.6844), day (1.2487)"
4, http://twitpic.com/4w75p - I like it!!,positive,neutral,"like it (0.3014), it (-0.0008), like (-0.2178)","like (-0.2178), it (-0.0008), like it (0.3014)"
19,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,negative,"with (0.2947), ok (0.2803), with that (0.0966), and (-0.0341), its (-0.1303), going (-0.1941), im going (-0.2402), into (-0.2769)","im (-1.7890), not (-1.1138), not_all (-1.0849), im not (-0.8999), not_great (-0.7972), and im (-0.5261), not_that (-0.4757), my (-0.4006)"
24, you are lame  go make me breakfast!!,negative,neutral,"breakfast (1.6007), you are (1.4418), you (0.6912), are (0.2078), make (0.0669), go make (-0.1041), me (-0.3680), go (-0.3944)","lame (-2.7068), make me (-0.7655), go (-0.3944), me (-0.3680), go make (-0.1041), make (0.0669), are (0.2078), you (0.6912)"
29,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,neutral,"day (1.2487), we are (0.6844), our way (0.3014), we (0.2782), are (0.2078), it out (0.1072), way (0.0344), it (-0.0008)","doesnt (-1.0669), no (-1.0068), not_the (-0.8370), hot (-0.7231), not_fan (-0.5741), out on (-0.2712), on (-0.1106), out (-0.1064)"
32,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,negative,"and like (1.5053), world (0.9833), looking (0.9393), jimmy (0.8122), looking at (0.7714), there (0.2234), and (-0.0681), at (-0.1845)","sorry (-2.9075), not not_going (-1.4540), not_going (-1.4332), not_to (-1.3961), not_going not_to (-1.3081), not not_going not_to (-1.2672), not (-1.1138), there is (-1.0973)"
33, did he ask for your Twitter ID? Your sun sign?,neutral,positive,"your twitter (1.8418), for your (1.7285), ask for (1.6007), your (1.5165), for (0.3537), twitter (0.3197), id (0.1768), ask (0.1190)","did he (-1.0204), sign (-0.3048), he (-0.2331), sun (-0.1041), did (0.0106), ask (0.1190), id (0.1768), twitter (0.3197)"
35,Watching Body of Lies...good film,positive,neutral,"film (1.1487), watching (0.4284), of (-0.0084), body (-0.5096)","body (-0.5096), of (-0.0084), watching (0.4284), film (1.1487)"
37,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,negative,"day (1.2487), start (0.4300), all (0.3795), for (0.3537), to put (0.3312), getting ready for (0.2526), ready (0.1785), getting ready (0.1642)","missed (-2.5020), missed my (-2.0500), ive missed (-1.3569), all day (-0.8818), really need (-0.6919), down (-0.6869), getting (-0.5741), really need to (-0.5096)"
40, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,neutral,"ma (0.9945), not_heard (0.8122), beat (0.2144), much (0.0979), not_of (0.0425), tweet (0.0211), too (-0.0225), never (-0.6338)","too much (-1.0995), not_it (-0.9273), never (-0.6338), too (-0.0225), tweet (0.0211), not_of (0.0425), much (0.0979), beat (0.2144)"
